UserID,Probability1
3,0.279672578
4,0.695794648
10,0.695794648
14,0.279672578
16,0.554216867
23,0.640816327
29,0.695794648
33,0.279672578
37,0.695794648
45,0.695794648
47,0.695794648
54,0.279672578
55,0.554216867
60,0.404040404
68,0.695794648
79,0.695794648
90,0.640816327
93,0.404040404
98,0.695794648
101,0.724637681
107,0.695794648
109,0.640816327
113,0.695794648
116,0.404040404
118,0.404040404
119,0.695794648
120,0.695794648
126,0.724637681
131,0.695794648
134,0.695794648
135,0.640816327
137,0.695794648
139,0.279672578
140,0.301886792
141,0.695794648
142,0.695794648
152,0.695794648
162,0.640816327
164,0.695794648
168,0.640816327
172,0.640816327
173,0.554216867
176,0.695794648
179,0.695794648
181,0.695794648
182,0.404040404
183,0.695794648
186,0.640816327
189,0.554216867
192,0.695794648
193,0.695794648
194,0.695794648
196,0.554216867
197,0.695794648
198,0.695794648
201,0.695794648
204,0.404040404
205,0.695794648
210,0.695794648
213,0.640816327
216,0.404040404
221,0.695794648
234,0.279672578
237,0.695794648
241,0.279672578
246,0.279672578
258,0.695794648
261,0.279672578
262,0.695794648
271,0.279672578
279,0.695794648
280,0.695794648
288,0.404040404
291,0.695794648
296,0.279672578
301,0.640816327
305,0.279672578
306,0.554216867
310,0.279672578
313,0.695794648
315,0.695794648
317,0.695794648
318,0.695794648
319,0.554216867
321,0.695794648
323,0.279672578
324,0.640816327
325,0.695794648
326,0.724637681
327,0.640816327
328,0.695794648
331,0.695794648
340,0.695794648
342,0.640816327
344,0.640816327
346,0.695794648
347,0.695794648
358,0.279672578
368,0.279672578
369,0.301886792
382,0.279672578
383,0.640816327
384,0.695794648
385,0.724637681
386,0.695794648
392,0.279672578
396,0.695794648
397,0.554216867
399,0.695794648
400,0.695794648
402,0.404040404
404,0.695794648
405,0.640816327
410,0.695794648
412,0.695794648
415,0.404040404
416,0.695794648
418,0.640816327
419,0.695794648
421,0.279672578
422,0.640816327
424,0.404040404
437,0.695794648
440,0.404040404
442,0.640816327
443,0.640816327
447,0.640816327
448,0.695794648
449,0.695794648
453,0.404040404
465,0.404040404
467,0.695794648
468,0.279672578
470,0.279672578
472,0.404040404
476,0.279672578
484,0.695794648
486,0.695794648
487,0.640816327
492,0.695794648
494,0.640816327
495,0.640816327
503,0.695794648
505,0.695794648
514,0.695794648
516,0.695794648
518,0.695794648
521,0.279672578
523,0.640816327
529,0.279672578
531,0.695794648
533,0.695794648
534,0.695794648
536,0.695794648
545,0.695794648
549,0.724637681
553,0.640816327
555,0.724637681
561,0.554216867
562,0.695794648
563,0.640816327
567,0.404040404
569,0.695794648
570,0.279672578
575,0.695794648
577,0.640816327
579,0.695794648
581,0.279672578
582,0.554216867
583,0.279672578
590,0.279672578
598,0.640816327
600,0.695794648
603,0.640816327
604,0.640816327
606,0.695794648
619,0.695794648
621,0.279672578
622,0.695794648
623,0.279672578
627,0.695794648
633,0.695794648
636,0.640816327
639,0.695794648
643,0.695794648
653,0.404040404
654,0.640816327
660,0.695794648
681,0.724637681
685,0.640816327
691,0.695794648
696,0.695794648
698,0.279672578
699,0.695794648
700,0.404040404
703,0.640816327
705,0.695794648
707,0.724637681
708,0.640816327
711,0.640816327
712,0.695794648
716,0.279672578
719,0.640816327
722,0.695794648
724,0.279672578
727,0.301886792
730,0.695794648
736,0.640816327
743,0.695794648
753,0.695794648
755,0.554216867
765,0.640816327
774,0.301886792
775,0.554216867
778,0.695794648
784,0.640816327
788,0.640816327
789,0.279672578
791,0.695794648
797,0.279672578
798,0.279672578
800,0.695794648
802,0.279672578
807,0.279672578
810,0.695794648
811,0.279672578
820,0.640816327
821,0.404040404
822,0.695794648
823,0.640816327
824,0.695794648
826,0.279672578
828,0.695794648
831,0.279672578
832,0.279672578
833,0.695794648
834,0.404040404
837,0.301886792
838,0.695794648
841,0.695794648
843,0.279672578
844,0.279672578
850,0.640816327
853,0.695794648
855,0.640816327
856,0.724637681
860,0.279672578
864,0.279672578
868,0.640816327
875,0.279672578
876,0.279672578
877,0.695794648
879,0.640816327
889,0.695794648
890,0.640816327
894,0.279672578
896,0.554216867
897,0.695794648
904,0.279672578
905,0.695794648
907,0.640816327
909,0.279672578
913,0.695794648
925,0.695794648
926,0.695794648
927,0.554216867
928,0.279672578
931,0.695794648
932,0.695794648
934,0.279672578
935,0.695794648
939,0.404040404
941,0.695794648
942,0.279672578
947,0.640816327
948,0.695794648
950,0.404040404
951,0.695794648
958,0.695794648
959,0.695794648
960,0.640816327
966,0.695794648
975,0.695794648
985,0.695794648
992,0.695794648
993,0.279672578
994,0.279672578
995,0.404040404
998,0.695794648
1001,0.695794648
1009,0.279672578
1011,0.279672578
1012,0.640816327
1013,0.404040404
1014,0.404040404
1028,0.695794648
1032,0.640816327
1033,0.695794648
1037,0.640816327
1051,0.404040404
1052,0.554216867
1055,0.695794648
1061,0.279672578
1067,0.640816327
1071,0.695794648
1073,0.640816327
1075,0.279672578
1077,0.640816327
1078,0.279672578
1081,0.724637681
1082,0.695794648
1088,0.695794648
1094,0.640816327
1100,0.301886792
1102,0.640816327
1103,0.279672578
1112,0.695794648
1114,0.695794648
1117,0.695794648
1118,0.695794648
1127,0.695794648
1130,0.695794648
1131,0.695794648
1132,0.695794648
1136,0.279672578
1139,0.695794648
1151,0.695794648
1152,0.640816327
1153,0.279672578
1155,0.695794648
1158,0.279672578
1161,0.695794648
1165,0.640816327
1166,0.279672578
1172,0.695794648
1173,0.640816327
1177,0.695794648
1178,0.301886792
1179,0.404040404
1180,0.279672578
1181,0.279672578
1182,0.695794648
1187,0.695794648
